id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"10154","Mickey Blue Eyes","5.0","1999","A romantic comedy you can't refuse","75000000","54264342","Comedy|Crime|Romance"
"4548","The Count of Monte Cristo","7.5","1998",,,,"History"
"454","Romeo + Juliet","6.2","1996","My only love sprung from my only hate.","14500000","147298761","Drama|Romance"
"15859","A Moment to Remember","8.6","2004",,"4200000",,"Drama|Romance"
"10155","U Turn","6.8","1997",,"19000000","6682098","Comedy|Drama|Thriller"
"1585","It's a Wonderful Life","7.2","1946","It's a wonderful laugh! It's a wonderful love!","3180000","9644124","Drama|Family|Fantasy"
"10156","History of the World: Part I","6.1","1981",,"11000000","31672907","Comedy|Musical"
"4550","Sympathy for Lady Vengeance","7.5","2005","All she wanted was a peaceful life...they didn't give it.",,"23803308","Drama|Indie|Thriller"
"10157","Police Academy 2: Their First Assignment","5.3","1985","To protect, to serve... and make you laugh. America's funniest crimebusters are back!","7600000","55600000","Action|Comedy|Crime"
"15860","Dragon Tiger Gate","7.4","2006",,,"8685526","Action|Thriller"
"4551","Be Cool","5.9","2005","Everyone is looking for the next big hit","53000000","95200000","Comedy|Crime"
"1586","Secret Window","6.4","2004","The most important part of a story is the ending.","40000000","92900000","Mystery|Thriller"
"10158","White Men Can't Jump","6.2","1992","It ain't easy being this good.","31000000","90753806","Comedy|Drama|Sport"
"10159","The Rundown","6.4","2003","Cut to the chase","85000000","80900000","Action|Adventure|Comedy|Thriller"
"4552","A Tale of Two Sisters","7.3","2003","Our sorrow was conceived long before our birth","15100000","1100000","Drama|Horror|Mystery"
"158752","Escape from Tomorrow","4.3","2013","Bad things happen everywhere.",,,"Fantasy|Horror"
"10160","A Nightmare on Elm Street 5: The Dream Child","5.7","1989","Now Freddy’s a daddy, he’s killing for two.","6000000","22200000","Horror|Thriller"
"45535","Fatal","6.7","2010",,"17289533","8929413","Comedy|Musical"
"15876","The Enemy Below","8.2","1957",,,,"Action|Adventure|Drama|History|Thriller|War"
"4553","The Machinist","7.0","2004","A little guilt goes a long way...","5000000","8203235","Drama|Thriller"
"10161","My Left Foot: The Story of Christy Brown","7.5","1989",,"645180","14743391","Drama"
"45556","Arctic Blast","4.3","2010","-70 Degrees and Dropping!","5000000",,"Science Fiction"
